T03,Population growth and indicators of fertility and mortality,,,,,
704,Viet Nam,2015,Life expectancy at birth for males (years),70.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
704,Viet Nam,2015,Life expectancy at birth for females (years),79.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
704,Viet Nam,2017,"Maternal mortality ratio (deaths per 100,000 population)",43,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2017."""
704,Viet Nam,2020,Population annual rate of increase (percent),1.0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
704,Viet Nam,2020,Total fertility rate (children per women),2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
704,Viet Nam,2020,"Infant mortality for both sexes (per 1,000 live births)",16.7,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
704,Viet Nam,2020,Life expectancy at birth for both sexes (years),75.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
704,Viet Nam,2020,Life expectancy at birth for males (years),71.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
704,Viet Nam,2020,Life expectancy at birth for females (years),79.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
876,Wallis and Futuna Islands,2010,Population annual rate of increase (percent),-3.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
876,Wallis and Futuna Islands,2015,Population annual rate of increase (percent),-0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
876,Wallis and Futuna Islands,2020,Population annual rate of increase (percent),-1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
732,Western Sahara,2010,Population annual rate of increase (percent),1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
732,Western Sahara,2010,Total fertility rate (children per women),2.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
732,Western Sahara,2010,"Infant mortality for both sexes (per 1,000 live births)",43.0,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
732,Western Sahara,2010,Life expectancy at birth for both sexes (years),66.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
732,Western Sahara,2010,Life expectancy at birth for males (years),64.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
732,Western Sahara,2010,Life expectancy at birth for females (years),68.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
732,Western Sahara,2015,Population annual rate of increase (percent),1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
732,Western Sahara,2015,Total fertility rate (children per women),2.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
732,Western Sahara,2015,"Infant mortality for both sexes (per 1,000 live births)",34.1,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
